"연도","월","구분","주택","보증유형"," 건수 "," 금액(백만원) ","비율","",""
"2018","09","공동주택","아파트","전세자금대출특약보증","12192","1995519","71.70","",""
"2018","12","단독주택","단독주택","전세보증금반환보증","805","125206","3.04","",""
"2018","12","단독주택","다가구주택","전세보증금반환보증","1707","251469","6.45","",""
"2018","12","단독주택","다세대주택","전세보증금반환보증","4218","757953","15.93","",""
"2018","12","공동주택","연립주택","전세보증금반환보증","418","78131","1.58","",""
"2018","12","공동주택","오피스텔","전세보증금반환보증","1941","313737","7.33","",""
"2018","12","공동주택","아파트","전세보증금반환보증","17390","3943267","65.67","",""
"2018","12","단독주택","단독주택","전세자금대출특약보증","766","89631","2.80","",""
"2018","12","단독주택","다가구주택","전세자금대출특약보증","1621","184829","5.70","",""
"2018","12","단독주택","다세대주택","전세자금대출특약보증","3715","493225","15.20","",""
"2018","12","공동주택","연립주택","전세자금대출특약보증","379","50601","1.60","",""
"2018","12","공동주택","오피스텔","전세자금대출특약보증","1637","201990","6.20","",""
"2018","12","공동주택","아파트","전세자금대출특약보증","13949","2226055","68.60","",""
"2019","03","단독주택","단독주택","전세보증금반환보증","751","109507","2.25","",""
"2019","03","단독주택","다가구주택","전세보증금반환보증","2008","285685","6.03","",""
"2019","03","단독주택","다세대주택","전세보증금반환보증","5171","900758","15.52","",""
"2019","03","공동주택","연립주택","전세보증금반환보증","541","97312","1.62","",""
"2019","03","공동주택","오피스텔","전세보증금반환보증","3200","485811","9.61","",""
"2019","03","공동주택","아파트","전세보증금반환보증","21640","4863159","64.96","",""
"2019","03","단독주택","단독주택","전세자금대출특약보증","673","74086","2.10","",""
"2019","03","단독주택","다가구주택","전세자금대출특약보증","1837","205945","6.00","",""
"2019","03","단독주택","다세대주택","전세자금대출특약보증","4193","543784","15.70","",""
"2019","03","공동주택","연립주택","전세자금대출특약보증","438","58130","1.70","",""
"2019","03","공동주택","오피스텔","전세자금대출특약보증","2459","282290","8.20","",""
"2019","03","공동주택","아파트","전세자금대출특약보증","14810","2294406","66.30","",""
"2019","06","단독주택","단독주택","전세보증금반환보증","1147","165637","2.86","",""
"2019","06","단독주택","다가구주택","전세보증금반환보증","2802","406227","6.99","",""
"2019","06","단독주택","다세대주택","전세보증금반환보증","7281","1294046","18.17","",""
"2019","06","공동주택","연립주택","전세보증금반환보증","717","123810","1.79","",""
"2019","06","공동주택","오피스텔","전세보증금반환보증","4259","646549","10.63","",""
"2019","06","공동주택","아파트","전세보증금반환보증","23864","5036398","59.56","",""
"2019","06","단독주택","단독주택","전세자금대출특약보증","1045","117250","3.42","",""
"2019","06","단독주택","다가구주택","전세자금대출특약보증","2588","296493","8.48","",""
"2019","06","단독주택","다세대주택","전세자금대출특약보증","6078","813184","19.91","",""
"2019","06","공동주택","연립주택","전세자금대출특약보증","577","73238","1.89","",""
"2019","06","공동주택","오피스텔","전세자금대출특약보증","3300","391131","10.81","",""
"2019","06","공동주택","아파트","전세자금대출특약보증","16933","2489831","55.48","",""
